# lambda_A, QE  (e2v CCD + Teledyne H2RG blended by a 1.0um dichroic)
3.400000000000000000e+03,2.499999829359927372e-01
3.425000000000000000e+03,2.624999809272318130e-01
3.450000000000000000e+03,2.749999787303414323e-01
3.475000000000000000e+03,2.874999763294102673e-01
3.500000000000000000e+03,2.999999737072576167e-01
3.525000000000000000e+03,3.124999708453349845e-01
3.550000000000000000e+03,3.249999677236216078e-01
3.575000000000000000e+03,3.374999643205117694e-01
3.600000000000000000e+03,3.499999606126932283e-01
3.625000000000000000e+03,3.668749560509226848e-01
3.650000000000000000e+03,3.837499510645672740e-01
3.675000000000000000e+03,4.006249456178350710e-01
3.700000000000000000e+03,4.174999396720833755e-01
3.725000000000000000e+03,4.343749331856003315e-01
3.750000000000000000e+03,4.512499261133690598e-01
3.775000000000000000e+03,4.681249184068152491e-01
3.800000000000000000e+03,4.849999100135355956e-01
3.825000000000000000e+03,5.018749008770057030e-01
3.850000000000000000e+03,5.187498909362668886e-01
3.875000000000000000e+03,5.356248801255886205e-01
3.900000000000000000e+03,5.524998683741072503e-01
3.925000000000000000e+03,5.693748556054372134e-01
3.950000000000000000e+03,5.862498417372529191e-01
3.975000000000000000e+03,6.031248266808413305e-01
4.000000000000000000e+03,6.199998103406193506e-01
4.025000000000000000e+03,6.257497962362646993e-01
4.050000000000000000e+03,6.314997811014997353e-01
4.075000000000000000e+03,6.372497648620807364e-01
4.100000000000000000e+03,6.429997474384732126e-01
4.125000000000000000e+03,6.487497287454783157e-01
4.150000000000000000e+03,6.544997086918334928e-01
4.175000000000000000e+03,6.602496871797841616e-01
4.200000000000000000e+03,6.659996641046261878e-01
4.225000000000000000e+03,6.717496393542160549e-01
4.250000000000000000e+03,6.774996128084471714e-01
4.275000000000000000e+03,6.832495843386882095e-01
4.300000000000000000e+03,6.889995538071839176e-01
4.325000000000000000e+03,6.947495210664135223e-01
4.350000000000000000e+03,7.004994859584031675e-01
4.375000000000000000e+03,7.062494483139915014e-01
4.400000000000000000e+03,7.119994079520443053e-01
4.425000000000000000e+03,7.177493646786131665e-01
4.450000000000000000e+03,7.234993182860363081e-01
4.475000000000000000e+03,7.292492685519761375e-01
4.500000000000000000e+03,7.349992152383904020e-01
4.525000000000000000e+03,7.407491580904312922e-01
4.550000000000000000e+03,7.464990968352671619e-01
4.575000000000000000e+03,7.522490311808240904e-01
4.600000000000000000e+03,7.579989608144371838e-01
4.625000000000000000e+03,7.637488854014110595e-01
4.650000000000000000e+03,7.694988045834777468e-01
