# lambda_A, throughput  (3xAg mirror x optics x grism x QE)
3.400000000000000000e+03,5.458542827421515586e-02
3.425000000000000000e+03,5.918023310241632418e-02
3.450000000000000000e+03,6.399725502518230358e-02
3.475000000000000000e+03,6.904324464752879809e-02
3.500000000000000000e+03,7.432507508596591927e-02
3.525000000000000000e+03,7.984974299964202327e-02
3.550000000000000000e+03,8.562436962147744468e-02
3.575000000000000000e+03,9.165620178928632344e-02
3.600000000000000000e+03,9.795261297688556690e-02
3.625000000000000000e+03,1.057825659291144749e-01
3.650000000000000000e+03,1.139679228056676846e-01
3.675000000000000000e+03,1.225188548288433654e-01
3.700000000000000000e+03,1.314457077263548879e-01
3.725000000000000000e+03,1.407590031232377192e-01
3.750000000000000000e+03,1.504694399337280220e-01
3.775000000000000000e+03,1.605878957531110818e-01
3.800000000000000000e+03,1.711254282495358880e-01
3.825000000000000000e+03,1.803740752795360003e-01
3.850000000000000000e+03,1.898804390993930336e-01
3.875000000000000000e+03,1.996482846437522829e-01
3.900000000000000000e+03,2.096814072375078331e-01
3.925000000000000000e+03,2.199836327050153362e-01
3.950000000000000000e+03,2.305588174792708722e-01
3.975000000000000000e+03,2.414108487110546708e-01
4.000000000000000000e+03,2.525436443780332829e-01
4.025000000000000000e+03,2.572112808396478378e-01
4.050000000000000000e+03,2.619376649165477966e-01
4.075000000000000000e+03,2.667233071472520645e-01
4.100000000000000000e+03,2.715687208775599548e-01
4.125000000000000000e+03,2.764744222677394947e-01
4.150000000000000000e+03,2.814409302996930817e-01
4.175000000000000000e+03,2.864687667840989937e-01
4.200000000000000000e+03,2.915584563675273633e-01
4.225000000000000000e+03,2.967105265395295066e-01
4.250000000000000000e+03,3.019255076396959447e-01
4.275000000000000000e+03,3.072039328646826717e-01
4.300000000000000000e+03,3.125463382752031727e-01
4.325000000000000000e+03,3.179532628029832497e-01
4.350000000000000000e+03,3.234252482576742693e-01
4.375000000000000000e+03,3.289628393337243883e-01
4.400000000000000000e+03,3.345665836172020402e-01
4.425000000000000000e+03,3.402370315925697386e-01
4.450000000000000000e+03,3.459747366494032028e-01
4.475000000000000000e+03,3.517802550890511970e-01
4.500000000000000000e+03,3.576541461312338632e-01
4.525000000000000000e+03,3.620201608333624144e-01
4.550000000000000000e+03,3.664152619649096443e-01
4.575000000000000000e+03,3.708395680986308340e-01
4.600000000000000000e+03,3.752931980811944346e-01
4.625000000000000000e+03,3.797762710325450763e-01
4.650000000000000000e+03,3.842889063451979115e-01
4.675000000000000000e+03,3.888312236834559621e-01
4.700000000000000000e+03,3.934033429825447015e-01
4.725000000000000000e+03,3.980053844476624247e-01
4.750000000000000000e+03,4.026374685529333641e-01
4.775000000000000000e+03,4.072997160402625494e-01
4.800000000000000000e+03,4.119922479180817554e-01
4.825000000000000000e+03,4.167151854599782101e-01
4.850000000000000000e+03,4.214686502032010673e-01
4.875000000000000000e+03,4.262527639470322649e-01
4.900000000000000000e+03,4.310676487510151089e-01
4.925000000000000000e+03,4.359134269330278699e-01
4.950000000000000000e+03,4.407902210671933441e-01
4.975000000000000000e+03,4.456981539816101123e-01
5.000000000000000000e+03,4.506373487558946733e-01
5.025000000000000000e+03,4.522257994864725128e-01
5.050000000000000000e+03,4.538171893714129101e-01
5.075000000000000000e+03,4.554115189102329042e-01
5.100000000000000000e+03,4.570087885664914085e-01
5.125000000000000000e+03,4.586089987653381717e-01
5.150000000000000000e+03,4.602121498908933739e-01
5.175000000000000000e+03,4.618182422834536394e-01
5.200000000000000000e+03,4.634272762365039267e-01
5.225000000000000000e+03,4.650392519935319102e-01
5.250000000000000000e+03,4.666541697446212611e-01
5.275000000000000000e+03,4.682720296228192747e-01
5.300000000000000000e+03,4.698928317002539212e-01
5.325000000000000000e+03,4.715165759839902715e-01
5.350000000000000000e+03,4.731432624116055918e-01
5.375000000000000000e+03,4.747728908464644015e-01
5.400000000000000000e+03,4.764054610726741745e-01
5.425000000000000000e+03,4.780409727896980376e-01
5.450000000000000000e+03,4.796794256066044260e-01
5.475000000000000000e+03,4.813208190359247740e-01
5.500000000000000000e+03,4.829651524870987589e-01
5.525000000000000000e+03,4.846124252594715132e-01
5.550000000000000000e+03,4.862626365348208246e-01
5.575000000000000000e+03,4.879157853693748548e-01
5.600000000000000000e+03,4.895718706852924540e-01
5.625000000000000000e+03,4.912308912615642731e-01
5.650000000000000000e+03,4.928928457242999772e-01
