# lambda_A, I_lambda[erg/s/cm2/A/arcsec2]  (CALSPEC solar x Leinert-1998 norm + IPD thermal)
3.400000000000000000e+03,3.299133058335592277e-18
3.425000000000000000e+03,3.329850542570112414e-18
3.450000000000000000e+03,2.881767282708976660e-18
3.475000000000000000e+03,3.051051320101327970e-18
3.500000000000000000e+03,3.219657923863895146e-18
3.525000000000000000e+03,3.090501238409363025e-18
3.550000000000000000e+03,3.657043900270570370e-18
3.575000000000000000e+03,2.726089245909368257e-18
3.600000000000000000e+03,3.319888740719198258e-18
3.625000000000000000e+03,3.327579341028964841e-18
3.650000000000000000e+03,3.607029070048760528e-18
3.675000000000000000e+03,4.005521984170875805e-18
3.700000000000000000e+03,4.033418073785715851e-18
3.725000000000000000e+03,3.610156029675952093e-18
3.750000000000000000e+03,3.260837567224337614e-18
3.775000000000000000e+03,4.258294023948092743e-18
3.800000000000000000e+03,3.779447925982626248e-18
3.825000000000000000e+03,2.771907019855012986e-18
3.850000000000000000e+03,3.297999456741663974e-18
3.875000000000000000e+03,3.381937735795719841e-18
3.900000000000000000e+03,4.046575334452608008e-18
3.925000000000000000e+03,3.558547828226794020e-18
3.950000000000000000e+03,3.834379136534447372e-18
3.975000000000000000e+03,3.092226692108162151e-18
4.000000000000000000e+03,5.628905208423734924e-18
4.025000000000000000e+03,5.934483898319995103e-18
4.050000000000000000e+03,5.646632010779677419e-18
4.075000000000000000e+03,5.478258365171315879e-18
4.100000000000000000e+03,5.438315425265272970e-18
4.125000000000000000e+03,5.847587309992536014e-18
4.150000000000000000e+03,5.660809683634464218e-18
4.175000000000000000e+03,5.498421978265747303e-18
4.200000000000000000e+03,5.618205282040517066e-18
4.225000000000000000e+03,5.243843953162522237e-18
4.250000000000000000e+03,5.675065424332282316e-18
4.275000000000000000e+03,5.168425218530735131e-18
4.300000000000000000e+03,4.391541727795746564e-18
4.325000000000000000e+03,5.384293830341726370e-18
4.350000000000000000e+03,5.511693618621920090e-18
4.375000000000000000e+03,5.941490665890104744e-18
4.400000000000000000e+03,5.815725197343027856e-18
4.425000000000000000e+03,6.438624901402390024e-18
4.450000000000000000e+03,6.250148028807147250e-18
4.475000000000000000e+03,6.698052607163370398e-18
4.500000000000000000e+03,6.753640813421890505e-18
4.525000000000000000e+03,6.400886333793463768e-18
4.550000000000000000e+03,6.521829598210982209e-18
4.575000000000000000e+03,6.839272297493960469e-18
4.600000000000000000e+03,6.590220441500193599e-18
4.625000000000000000e+03,6.841231781041749564e-18
4.650000000000000000e+03,6.524833505441707310e-18
4.675000000000000000e+03,6.532295083028939581e-18
4.700000000000000000e+03,6.355479612140267561e-18
4.725000000000000000e+03,6.647012696714061791e-18
4.750000000000000000e+03,6.647622773040916852e-18
4.775000000000000000e+03,6.715849935230769101e-18
4.800000000000000000e+03,6.721973061680776321e-18
4.825000000000000000e+03,6.627717700422834618e-18
4.850000000000000000e+03,6.257775806964765150e-18
4.875000000000000000e+03,5.879139704753955278e-18
4.900000000000000000e+03,6.448902498328966839e-18
4.925000000000000000e+03,6.185127042950574528e-18
4.950000000000000000e+03,6.556796035819282566e-18
4.975000000000000000e+03,6.581616698013225489e-18
5.000000000000000000e+03,6.293332739400649225e-18
5.025000000000000000e+03,6.141240545556265435e-18
5.050000000000000000e+03,6.242206251145227497e-18
5.075000000000000000e+03,6.242970278723359351e-18
5.100000000000000000e+03,6.286298145123736697e-18
5.125000000000000000e+03,6.151163717733955437e-18
5.150000000000000000e+03,6.143709444542181538e-18
5.175000000000000000e+03,5.602034325416765542e-18
5.200000000000000000e+03,5.967348391435963851e-18
5.225000000000000000e+03,5.986884528993266730e-18
5.250000000000000000e+03,6.354610425897264978e-18
5.275000000000000000e+03,5.889877635173657229e-18
5.300000000000000000e+03,6.295710162848801482e-18
5.325000000000000000e+03,5.868170897613845190e-18
5.350000000000000000e+03,6.212335950122803070e-18
5.375000000000000000e+03,6.134228204581693676e-18
5.400000000000000000e+03,5.905170436427727781e-18
5.425000000000000000e+03,5.981586059755007658e-18
5.450000000000000000e+03,6.154766464057247639e-18
5.475000000000000000e+03,6.002913836811444464e-18
5.500000000000000000e+03,6.144591357921447791e-18
5.525000000000000000e+03,6.037453239896287764e-18
5.550000000000000000e+03,6.195694206986719163e-18
5.575000000000000000e+03,6.017411806796760370e-18
5.600000000000000000e+03,5.948000070721895005e-18
5.625000000000000000e+03,6.034874060988606637e-18
5.650000000000000000e+03,6.000993058312253208e-18
5.675000000000000000e+03,6.144114514114870318e-18
5.700000000000000000e+03,5.986786927465257986e-18
5.725000000000000000e+03,6.159628696627971650e-18
5.750000000000000000e+03,6.075156722443375817e-18
5.775000000000000000e+03,6.080442245307084384e-18
5.800000000000000000e+03,6.005010450981445503e-18
5.825000000000000000e+03,6.133077218375249695e-18
5.850000000000000000e+03,6.018517850383733659e-18
5.875000000000000000e+03,6.057338784913325898e-18
5.900000000000000000e+03,5.515853841465115431e-18
5.925000000000000000e+03,5.929646865497026062e-18
5.950000000000000000e+03,5.838580190689973451e-18
5.975000000000000000e+03,5.867655792685155362e-18
6.000000000000000000e+03,5.805087901671198054e-18
6.025000000000000000e+03,5.673006746779229558e-18
6.050000000000000000e+03,5.834115808845267236e-18
6.075000000000000000e+03,5.789447187502515422e-18
6.100000000000000000e+03,5.700132126246415754e-18
6.125000000000000000e+03,5.641782414670748952e-18
6.150000000000000000e+03,5.647601616423670709e-18
6.175000000000000000e+03,5.575128107717886467e-18
6.200000000000000000e+03,5.661777564597236850e-18
6.225000000000000000e+03,5.641658057932925183e-18
6.250000000000000000e+03,5.443396831833854477e-18
6.275000000000000000e+03,5.606698292955027890e-18
6.300000000000000000e+03,5.515877102442895134e-18
6.325000000000000000e+03,5.446288286614448914e-18
6.350000000000000000e+03,5.476985260681632037e-18
6.375000000000000000e+03,5.472520846439697276e-18
6.400000000000000000e+03,5.416210040879968737e-18
6.425000000000000000e+03,5.361828103517680304e-18
6.450000000000000000e+03,5.389980172916587445e-18
6.475000000000000000e+03,5.290738985388272385e-18
6.500000000000000000e+03,5.233120063611979022e-18
6.525000000000000000e+03,5.313725522341906280e-18
6.550000000000000000e+03,5.106275793916671054e-18
6.575000000000000000e+03,4.685078966033782641e-18
6.600000000000000000e+03,5.176619034796974067e-18
6.625000000000000000e+03,5.186969587826338676e-18
6.650000000000000000e+03,5.186082148546895734e-18
6.675000000000000000e+03,5.112582364725602848e-18
6.700000000000000000e+03,5.104888845629326767e-18
6.725000000000000000e+03,5.058910898419469121e-18
6.750000000000000000e+03,5.033580881422641085e-18
6.775000000000000000e+03,5.020433049857309545e-18
6.800000000000000000e+03,4.986383963098990456e-18
6.825000000000000000e+03,4.948256710436809851e-18
6.850000000000000000e+03,4.863113454262177812e-18
6.875000000000000000e+03,4.894453418624192824e-18
6.900000000000000000e+03,4.862089174489527690e-18
6.925000000000000000e+03,4.838343937472630535e-18
6.950000000000000000e+03,4.804200224937143027e-18
6.975000000000000000e+03,4.740294877906018857e-18
7.000000000000000000e+03,4.715184133923128871e-18
7.025000000000000000e+03,4.643871140313396428e-18
7.050000000000000000e+03,4.729529283217848148e-18
7.075000000000000000e+03,4.682014219456688360e-18
7.100000000000000000e+03,4.640001669188095353e-18
7.125000000000000000e+03,4.617791701401045243e-18
7.150000000000000000e+03,4.584643787172806104e-18
7.175000000000000000e+03,4.527607387053821351e-18
7.200000000000000000e+03,4.459645538490671242e-18
7.225000000000000000e+03,4.504565521528504622e-18
7.250000000000000000e+03,4.532391868384362627e-18
7.275000000000000000e+03,4.507996252192083555e-18
7.300000000000000000e+03,4.442285366638867753e-18
7.325000000000000000e+03,4.440827660200386538e-18
7.350000000000000000e+03,4.406119852207700827e-18
7.375000000000000000e+03,4.383738290830245062e-18
7.400000000000000000e+03,4.275884635849541167e-18
7.425000000000000000e+03,4.298171893860633906e-18
7.450000000000000000e+03,4.312007060759955395e-18
7.475000000000000000e+03,4.318419391222985040e-18
7.500000000000000000e+03,4.272244695031985304e-18
7.525000000000000000e+03,4.251263092810080437e-18
7.550000000000000000e+03,4.237402223567826718e-18
7.575000000000000000e+03,4.210267622524213648e-18
7.600000000000000000e+03,4.185002115406805433e-18
7.625000000000000000e+03,4.189339013176164927e-18
7.650000000000000000e+03,4.135525136660466130e-18
7.675000000000000000e+03,4.017447744909097019e-18
7.700000000000000000e+03,4.072449202972280760e-18
7.725000000000000000e+03,4.084896607437690620e-18
7.750000000000000000e+03,4.031054830932247230e-18
7.775000000000000000e+03,4.048224094237436589e-18
7.800000000000000000e+03,4.023840224891385645e-18
7.825000000000000000e+03,4.001621721177873021e-18
7.850000000000000000e+03,4.002060072461349185e-18
7.875000000000000000e+03,3.993601538948431126e-18
7.900000000000000000e+03,3.965342900887151291e-18
7.925000000000000000e+03,3.901424432509880663e-18
7.950000000000000000e+03,3.857631106388315886e-18
7.975000000000000000e+03,3.908862990438474671e-18
8.000000000000000000e+03,3.870180338757392486e-18
8.025000000000000000e+03,3.858068822143753130e-18
8.050000000000000000e+03,3.801501591927398986e-18
8.075000000000000000e+03,3.803010873363276548e-18
8.100000000000000000e+03,3.756548600764761979e-18
8.125000000000000000e+03,3.799782109296435675e-18
8.150000000000000000e+03,3.778440992143117054e-18
8.175000000000000000e+03,3.747561835083823782e-18
8.200000000000000000e+03,3.651188598755324760e-18
8.225000000000000000e+03,3.673004118294633900e-18
8.250000000000000000e+03,3.671926025933759219e-18
8.275000000000000000e+03,3.675786456135542443e-18
8.300000000000000000e+03,3.658964891106621794e-18
8.325000000000000000e+03,3.574133383207364127e-18
8.350000000000000000e+03,3.589511818422685783e-18
8.375000000000000000e+03,3.590433987391726420e-18
8.400000000000000000e+03,3.566332954290287731e-18
8.425000000000000000e+03,3.537291065967042019e-18
8.450000000000000000e+03,3.532626652875037459e-18
8.475000000000000000e+03,3.484059543878080920e-18
8.500000000000000000e+03,3.367412780902079272e-18
8.525000000000000000e+03,3.371383484481765539e-18
8.550000000000000000e+03,3.044964919115142132e-18
8.575000000000000000e+03,3.460313006628779121e-18
8.600000000000000000e+03,3.420129124189523459e-18
8.625000000000000000e+03,3.425891869702246977e-18
8.650000000000000000e+03,3.342200766026618559e-18
8.675000000000000000e+03,3.062036229821939126e-18
8.700000000000000000e+03,3.301978089411697286e-18
8.725000000000000000e+03,3.274100183836600808e-18
8.750000000000000000e+03,3.287045884334522201e-18
8.775000000000000000e+03,3.240753975804960656e-18
8.800000000000000000e+03,3.214563323097121486e-18
8.825000000000000000e+03,3.181252175355145005e-18
8.850000000000000000e+03,3.205014990421104200e-18
8.875000000000000000e+03,3.178588151948047042e-18
8.900000000000000000e+03,3.170386128776047324e-18
8.925000000000000000e+03,3.140337141290855858e-18
8.950000000000000000e+03,3.157176006320535967e-18
8.975000000000000000e+03,3.115193829781863807e-18
9.000000000000000000e+03,3.069194148817368364e-18
9.025000000000000000e+03,3.070895716259603762e-18
9.050000000000000000e+03,3.042009572864800411e-18
9.075000000000000000e+03,2.984946310753690779e-18
9.100000000000000000e+03,2.984518402371410618e-18
9.125000000000000000e+03,3.014722606686182090e-18
9.150000000000000000e+03,2.985293117760812119e-18
9.175000000000000000e+03,2.977880610446540685e-18
9.200000000000000000e+03,2.901784615764618791e-18
9.225000000000000000e+03,2.869961726662563864e-18
9.250000000000000000e+03,2.895847680574951567e-18
9.275000000000000000e+03,2.920874506120582371e-18
9.300000000000000000e+03,2.914820152278968494e-18
9.325000000000000000e+03,2.936073555772352711e-18
9.350000000000000000e+03,2.878344912561991966e-18
9.375000000000000000e+03,2.864093798873602751e-18
9.400000000000000000e+03,2.854633676406799744e-18
9.425000000000000000e+03,2.807287430880012123e-18
9.450000000000000000e+03,2.850925932451621017e-18
9.475000000000000000e+03,2.806670646029379046e-18
9.500000000000000000e+03,2.792749693246467362e-18
9.525000000000000000e+03,2.765891323545107848e-18
9.550000000000000000e+03,2.751311538560596023e-18
9.575000000000000000e+03,2.776767755495858031e-18
9.600000000000000000e+03,2.749734683796728311e-18
9.625000000000000000e+03,2.732034946630556890e-18
9.650000000000000000e+03,2.713809339774848402e-18
9.675000000000000000e+03,2.702491022068100162e-18
9.700000000000000000e+03,2.697027486105039102e-18
9.725000000000000000e+03,2.704362337178820893e-18
9.750000000000000000e+03,2.658414019300331910e-18
9.775000000000000000e+03,2.664282368538577919e-18
9.800000000000000000e+03,2.648276282398431133e-18
9.825000000000000000e+03,2.654801582309412473e-18
9.850000000000000000e+03,2.632861075404891489e-18
9.875000000000000000e+03,2.620062914132835578e-18
9.900000000000000000e+03,2.584129475997352184e-18
9.925000000000000000e+03,2.603131273603076697e-18
9.950000000000000000e+03,2.595789130583068110e-18
