mission_week,mission_year,week_of_year,calendar_start,appendix,program,key_science_row,target,hours,weekly_wall_fraction,allocation_type,visibility_fraction
1,1,1,2030-01-01,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
1,1,1,2030-01-01,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
1,1,1,2030-01-01,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
1,1,1,2030-01-01,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
2,1,2,2030-01-08,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
2,1,2,2030-01-08,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
2,1,2,2030-01-08,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
2,1,2,2030-01-08,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
3,1,3,2030-01-15,A,Commissioning and reference fields,Commissioning / calibration,Reference fields,30.76923076923077,0.18315018315018317,continuous LP,1.0
3,1,3,2030-01-15,B,Commissioning and wavefront ramp,Commissioning / calibration,Coronagraph reference stars,30.76923076923077,0.18315018315018317,continuous LP,1.0
3,1,3,2030-01-15,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
3,1,3,2030-01-15,OPS,L2 station keeping,Observatory maintenance / overhead,Spacecraft orbit,2.0,0.011904761904761904,maintenance,1.0
3,1,3,2030-01-15,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
