lam_A,r_arcsec,ee
5.000000000000000000e+03,2.000000000000000042e-02,4.680058902304833901e-01
5.000000000000000000e+03,4.000000000000000083e-02,6.352478395012960410e-01
5.000000000000000000e+03,5.999999999999999778e-02,7.281935207878137417e-01
5.000000000000000000e+03,8.000000000000000167e-02,7.876922954375366048e-01
5.000000000000000000e+03,1.000000000000000056e-01,8.175161585450453350e-01
5.000000000000000000e+03,1.200000000000000094e-01,8.456069642376858875e-01
5.000000000000000000e+03,1.399999999999999856e-01,8.686224331807630428e-01
5.000000000000000000e+03,1.600000000000000033e-01,8.807927764252798664e-01
5.000000000000000000e+03,1.799999999999999933e-01,8.856215645069331899e-01
5.000000000000000000e+03,1.999999999999999833e-01,8.931339233980030157e-01
5.000000000000000000e+03,2.200000000000000011e-01,8.977341523832955694e-01
5.000000000000000000e+03,2.399999999999999911e-01,9.039231404739638265e-01
5.000000000000000000e+03,2.600000000000000089e-01,9.082745193617618451e-01
5.000000000000000000e+03,2.800000000000000266e-01,9.120738515152786441e-01
5.000000000000000000e+03,3.000000000000000444e-01,9.151271490187802282e-01
5.000000000000000000e+03,3.200000000000000067e-01,9.178397644129835387e-01
5.000000000000000000e+03,3.400000000000000244e-01,9.196087689752607819e-01
5.000000000000000000e+03,3.600000000000000422e-01,9.216996583821260858e-01
5.000000000000000000e+03,3.800000000000000044e-01,9.242541294124670959e-01
5.000000000000000000e+03,4.000000000000000222e-01,9.263094833468754619e-01
5.000000000000000000e+03,4.200000000000000400e-01,9.277317755320826365e-01
5.000000000000000000e+03,4.400000000000000022e-01,9.295514628798020595e-01
5.000000000000000000e+03,4.600000000000000200e-01,9.302217455546533120e-01
5.000000000000000000e+03,4.800000000000000377e-01,9.313196239661927223e-01
5.000000000000000000e+03,5.000000000000000000e-01,9.321427250853717705e-01
5.000000000000000000e+03,5.500000000000000444e-01,9.352196091380489129e-01
5.000000000000000000e+03,6.555555555555555580e-01,9.389432158112122062e-01
5.000000000000000000e+03,7.611111111111111827e-01,9.420568861582869769e-01
5.000000000000000000e+03,8.666666666666666963e-01,9.443285378451337087e-01
5.000000000000000000e+03,9.722222222222223209e-01,9.459913078063858505e-01
5.000000000000000000e+03,1.077777777777777946e+00,9.469653574497821635e-01
5.000000000000000000e+03,1.183333333333333348e+00,9.475096228489344741e-01
5.000000000000000000e+03,1.288888888888888973e+00,9.475701160059905037e-01
5.000000000000000000e+03,1.394444444444444375e+00,9.475906609068498465e-01
5.000000000000000000e+03,1.500000000000000000e+00,nan
7.000000000000000000e+03,2.000000000000000042e-02,3.299282951417117360e-01
7.000000000000000000e+03,4.000000000000000083e-02,6.550860162958759281e-01
7.000000000000000000e+03,5.999999999999999778e-02,6.881989143840659962e-01
7.000000000000000000e+03,8.000000000000000167e-02,7.573727899628456273e-01
7.000000000000000000e+03,1.000000000000000056e-01,8.053582563338731459e-01
7.000000000000000000e+03,1.200000000000000094e-01,8.246491579981412023e-01
7.000000000000000000e+03,1.399999999999999856e-01,8.373239112189271305e-01
7.000000000000000000e+03,1.600000000000000033e-01,8.509301655235899098e-01
7.000000000000000000e+03,1.799999999999999933e-01,8.729050027740422601e-01
7.000000000000000000e+03,1.999999999999999833e-01,8.824452875989772238e-01
7.000000000000000000e+03,2.200000000000000011e-01,8.903271570910136212e-01
7.000000000000000000e+03,2.399999999999999911e-01,8.935422985674026375e-01
7.000000000000000000e+03,2.600000000000000089e-01,8.978114405602150017e-01
7.000000000000000000e+03,2.800000000000000266e-01,9.029914769383812212e-01
7.000000000000000000e+03,3.000000000000000444e-01,9.051986069909627730e-01
7.000000000000000000e+03,3.200000000000000067e-01,9.092199683130504084e-01
7.000000000000000000e+03,3.400000000000000244e-01,9.121045245067236351e-01
7.000000000000000000e+03,3.600000000000000422e-01,9.145451191172782046e-01
7.000000000000000000e+03,3.800000000000000044e-01,9.167256798661840289e-01
7.000000000000000000e+03,4.000000000000000222e-01,9.193182544164919534e-01
7.000000000000000000e+03,4.200000000000000400e-01,9.209810339808376378e-01
7.000000000000000000e+03,4.400000000000000022e-01,9.227010340373108521e-01
7.000000000000000000e+03,4.600000000000000200e-01,9.243289213836580753e-01
7.000000000000000000e+03,4.800000000000000377e-01,9.250780928642006185e-01
7.000000000000000000e+03,5.000000000000000000e-01,9.263202341372689386e-01
7.000000000000000000e+03,5.500000000000000444e-01,9.299760225437186945e-01
7.000000000000000000e+03,6.555555555555555580e-01,9.342935576186808255e-01
7.000000000000000000e+03,7.611111111111111827e-01,9.378359784494540996e-01
7.000000000000000000e+03,8.666666666666666963e-01,9.404648437208599221e-01
7.000000000000000000e+03,9.722222222222223209e-01,9.423960041362104967e-01
7.000000000000000000e+03,1.077777777777777946e+00,9.437510762963317035e-01
7.000000000000000000e+03,1.183333333333333348e+00,9.442244112799353939e-01
7.000000000000000000e+03,1.288888888888888973e+00,9.443707062279227404e-01
7.000000000000000000e+03,1.394444444444444375e+00,9.443931507562162153e-01
7.000000000000000000e+03,1.500000000000000000e+00,nan
9.000000000000000000e+03,2.000000000000000042e-02,2.289139093573205053e-01
9.000000000000000000e+03,4.000000000000000083e-02,5.783150266006245044e-01
9.000000000000000000e+03,5.999999999999999778e-02,7.014332212772573794e-01
9.000000000000000000e+03,8.000000000000000167e-02,7.135188759464338171e-01
9.000000000000000000e+03,1.000000000000000056e-01,7.675028038811566589e-01
9.000000000000000000e+03,1.200000000000000094e-01,8.132133450510432571e-01
9.000000000000000000e+03,1.399999999999999856e-01,8.273996364024018835e-01
9.000000000000000000e+03,1.600000000000000033e-01,8.396544648208077444e-01
9.000000000000000000e+03,1.799999999999999933e-01,8.459360674540288283e-01
9.000000000000000000e+03,1.999999999999999833e-01,8.531730676043680628e-01
9.000000000000000000e+03,2.200000000000000011e-01,8.704430453903638787e-01
9.000000000000000000e+03,2.399999999999999911e-01,8.829365691325111731e-01
9.000000000000000000e+03,2.600000000000000089e-01,8.885238794795744521e-01
9.000000000000000000e+03,2.800000000000000266e-01,8.944469397574353886e-01
9.000000000000000000e+03,3.000000000000000444e-01,8.975329272437727601e-01
9.000000000000000000e+03,3.200000000000000067e-01,8.990829135719188292e-01
9.000000000000000000e+03,3.400000000000000244e-01,9.036726903112877185e-01
9.000000000000000000e+03,3.600000000000000422e-01,9.073878034079871924e-01
9.000000000000000000e+03,3.800000000000000044e-01,9.087811453805204609e-01
9.000000000000000000e+03,4.000000000000000222e-01,9.113126125077423145e-01
9.000000000000000000e+03,4.200000000000000400e-01,9.140125036136673708e-01
9.000000000000000000e+03,4.400000000000000022e-01,9.156571923964369475e-01
9.000000000000000000e+03,4.600000000000000200e-01,9.173190150382758423e-01
9.000000000000000000e+03,4.800000000000000377e-01,9.188645486329239942e-01
9.000000000000000000e+03,5.000000000000000000e-01,9.206067512166205002e-01
9.000000000000000000e+03,5.500000000000000444e-01,9.240854401017455366e-01
9.000000000000000000e+03,6.555555555555555580e-01,9.293004858160777149e-01
9.000000000000000000e+03,7.611111111111111827e-01,9.334937558842378857e-01
9.000000000000000000e+03,8.666666666666666963e-01,9.365506962632439425e-01
