sample,class,velocity_km_s,velocity_lo_km_s,velocity_hi_km_s,rate_cm2_g_km_s,rate_lo_cm2_g_km_s,rate_hi_cm2_g_km_s,effective_sigma_cm2_g
dwarf_1,Dwarf,118.703,100.511,140.187,1516.34,616.149,3731.70,12.7742
dwarf_2,Dwarf,65.2233,60.6278,70.1671,202.501,88.6813,462.407,3.10474
dwarf_3,Dwarf,27.9407,23.9804,32.5552,121.208,40.8421,359.693,4.33803
dwarf_4,Dwarf,47.3616,40.2125,55.7828,14.3213,5.38524,38.0872,0.302381
dwarf_5,Dwarf,55.5874,51.0133,60.5716,137.912,58.2430,326.541,2.48099
lsb_1,LSB,192.639,173.296,214.147,70.3200,31.5119,156.922,0.365035
lsb_2,LSB,107.555,85.7227,134.947,49.7255,14.6179,169.158,0.462327
lsb_3,LSB,134.855,123.453,147.309,105.574,47.5908,234.191,0.782870
lsb_4,LSB,133.076,122.278,144.831,237.742,103.370,546.785,1.78652
lsb_5,LSB,112.027,94.8505,132.314,1408.07,619.426,3200.63,12.5690
lsb_6,LSB,70.9076,57.1131,88.0338,52.9503,16.7678,167.201,0.746750
lsb_7,LSB,107.559,101.256,114.256,281.221,133.294,593.285,2.61456
cluster_1,Cluster,1832.03,1557.56,2154.87,175.324,74.1176,414.727,0.0956991
cluster_2,Cluster,1629.23,1376.89,1927.82,188.176,79.4200,445.861,0.115500
cluster_3,Cluster,1474.45,1162.70,1869.74,97.7567,45.7640,208.818,0.0663006
cluster_4,Cluster,2038.42,1859.52,2234.48,351.227,227.525,542.186,0.172304
cluster_5,Cluster,1423.56,1144.68,1770.36,216.712,115.765,405.682,0.152232
cluster_6,Cluster,1410.78,1230.33,1617.70,73.8796,48.4491,112.658,0.0523680
